epoch,acc,loss,top_2_acc,val_acc,val_loss,val_top_2_acc
0,0.44165784,2.462501217616288,0.56787944,0.612695,1.4516285689253556,0.767617
1,0.72442013,1.010405193895442,0.8583539,0.66433567,1.1530656312641345,0.81172675
2,0.8025433,0.7060734087764255,0.9137525,0.7003766,1.053342535307533,0.8289403
3,0.8540563,0.5248569449613586,0.9459555,0.7348037,0.9064518330912841,0.8708983
4,0.8935005,0.3888983684410465,0.9648534,0.72565895,0.9648082632767526,0.85906404
5,0.9137525,0.30718325416759373,0.9768633,0.74125874,0.9145000827939886,0.8692846
6,0.94053924,0.22991062377039007,0.9859296,0.74825174,0.8803943874020326,0.88488436
7,0.95355,0.1793891257768411,0.99169904,0.74556214,0.8914857420482134,0.8827326
8,0.9640292,0.1450621916072628,0.99358296,0.72996235,0.9438218552815286,0.86874664
9,0.9711527,0.11898836823342392,0.99629104,0.75040346,0.9864748355589414,0.86874664
10,0.9745084,0.10201184522725942,0.9968209,0.74610007,0.9606785962456151,0.8725121
11,0.9758036,0.09910934015776908,0.9970564,0.7444863,0.9972574616733351,0.8649812
12,0.97739315,0.08992072232997482,0.99717414,0.75524473,0.9649358705470437,0.8746638
13,0.9799246,0.0837242146734625,0.99735075,0.73695534,1.0884442986234237,0.8579882
14,0.98139644,0.075745401882823,0.99793947,0.7337278,1.1143985759270818,0.85583645
15,0.9783351,0.07828118570892863,0.99670315,0.73265195,1.0894633515885002,0.87036043
16,0.9856941,0.06056706842897403,0.9985871,0.746638,1.0845981271643388,0.8606778
17,0.982986,0.06320496065566007,0.99805725,0.7364174,1.1168062969257957,0.85314685
18,0.9886377,0.044885390308140274,0.9987048,0.7762238,0.9159904388024619,0.8881119
19,0.9952902,0.025249207617736275,0.999529,0.7719204,0.9394179096347407,0.8827326
20,0.9947015,0.024406760421627732,0.999529,0.76707906,0.95255685048668,0.87789136
21,0.9947015,0.024936806929862373,0.9996468,0.7681549,0.9581809600717143,0.87789136
22,0.99611443,0.019087313283241415,0.9994702,0.7735342,0.937527038549122,0.8924153
23,0.9959967,0.020152474089279896,0.999529,0.7719204,0.9599163277368796,0.8859602
24,0.99699754,0.015546482799145533,0.9997645,0.78859603,0.9273181596868917,0.89187735
25,0.99846935,0.011034321950224508,0.9998823,0.77461,0.9127743306912874,0.89349115
26,0.99782175,0.012114144258320539,0.9997056,0.7719204,0.9767283393364203,0.88918775
27,0.99864596,0.00968529964160307,0.9999411,0.7697687,0.9529173813368145,0.88918775
28,0.99846935,0.009858091947899812,0.9998234,0.77729964,0.9891848395529547,0.8886498
29,0.99746853,0.01148030207401176,0.9998823,0.7751479,0.989701562021908,0.880043
30,0.9987048,0.007941886583034956,1.0,0.77998924,0.9927464821620992,0.8859602
31,0.9987637,0.007484295357869763,0.9997645,0.7740721,0.9590201395514765,0.88757396
32,0.99905807,0.005632271014137673,0.9999411,0.7907477,0.9646478502177879,0.89456695
33,0.9989992,0.006276972479584105,1.0,0.7837547,0.9545312271894593,0.88918775
34,0.9991169,0.006071507152062807,0.9999411,0.7789134,0.9989482846699262,0.88918775
35,0.99888146,0.0068977906263031396,1.0,0.7762238,0.9723550661614067,0.89187735
36,0.9987637,0.0073923375757507515,0.9998823,0.7762238,0.9663098987780119,0.8929532
37,0.9994113,0.005936315327210263,1.0,0.7875202,0.968425422122604,0.89618075
38,0.9991758,0.00484642039132123,0.9998823,0.78698224,0.9654284666635489,0.89456695
39,0.9994113,0.004396960545700183,0.9999411,0.7794513,0.95495667210535,0.8897257
40,0.9998234,0.0032353247960621866,1.0,0.7934373,0.9438703771876661,0.90048414
41,0.9995879,0.0032447424232964956,1.0,0.78913397,0.9211369043118075,0.8951049
42,0.9997645,0.0033761026213500666,1.0,0.7998924,0.911582816980387,0.89618075
43,0.9994113,0.003889977336123965,1.0,0.7993545,0.9521987181352941,0.89887035
44,0.9998234,0.002504820596222707,1.0,0.7928994,0.9534380070276951,0.8929532
45,0.9998234,0.002283845005200718,1.0,0.7853685,0.9922779892620287,0.8897257
46,0.99905807,0.004156522906351396,1.0,0.795589,0.9696606812680042,0.90155995
47,0.9994113,0.003473071564739065,1.0,0.7794513,1.0058944666464078,0.88757396
48,0.9997645,0.0022959915260466267,1.0,0.7810651,1.0047266267632182,0.8913394
49,0.9998234,0.0027481253954709834,0.9999411,0.79397523,0.964207892257132,0.9026358
50,0.9997056,0.0020153432722569637,1.0,0.795589,0.9473970697114342,0.8977945
51,0.9998823,0.002122473002157472,1.0,0.78859603,0.9755799040982598,0.88918775
52,0.9997056,0.002418691941705315,1.0,0.7837547,0.9656722820118854,0.8897257
